player_name,first_year,last_year,appearances,first_team,estimated_price_lakh,actual_price_lakh,notes
A Chopra,2009,2009,1,KKR,20.0,,
AM Nayar,2009,2012,3,MI,20.0,,
B Akhil,2009,2009,1,RCB,20.0,,
DB Ravi Teja,2009,2012,2,DCH,20.0,,
K Goel,2009,2010,2,PBKS,20.0,,
L Ronchi,2009,2009,1,MI,20.0,,
LR Shukla,2009,2013,4,KKR,20.0,,
M Rawat,2009,2009,1,RR,20.0,,
MF Maharoof,2009,2010,2,DC,20.0,,
NK Patel,2009,2009,1,RR,20.0,,
PJ Sangwan,2009,2010,2,DC,20.0,,
PR Shah,2009,2009,1,MI,20.0,,
R Bhatia,2009,2017,6,DC,20.0,,
RR Raje,2009,2009,1,MI,20.0,,
S Sohal,2009,2009,1,PBKS,20.0,,
SK Trivedi,2009,2013,4,RR,20.0,,
SP Goswami,2009,2010,2,RCB,20.0,,
TM Srivastava,2009,2009,1,PBKS,20.0,,
WA Mota,2009,2009,1,PBKS,20.0,,
Y Venugopal Rao,2009,2012,3,DCH,20.0,,
AA Bilakhia,2010,2010,1,DCH,20.0,,
AB McDonald,2010,2010,1,DC,20.0,,
AS Raut,2010,2010,1,RR,20.0,,
GJ Bailey,2010,2015,2,CSK,20.0,,
KP Appanna,2010,2010,1,RCB,20.0,,
KP Pietersen,2010,2010,1,RCB,20.0,,
M Manhas,2010,2013,3,DC,20.0,,
RJ Harris,2010,2013,3,DCH,20.0,,
T Thushara,2010,2010,1,CSK,20.0,,
TL Suman,2010,2012,2,DCH,20.0,,
VRV Singh,2010,2010,1,Unknown,20.0,,
VY Mahesh,2010,2010,1,Unknown,20.0,,
Y Nagar,2010,2012,2,DC,20.0,,
Stephen O'Keefe,2011,2011,1,KTK,20.0,,
AC Blizzard,2012,2012,1,MI,20.0,,
AC Thomas,2012,2012,1,PUNE,20.0,,
AJ Finch,2012,2017,2,DC,20.0,,
AL Menaria,2012,2013,2,RR,20.0,,
AUK Pathan,2012,2012,1,RCB,20.0,,
Anand Rajan,2012,2013,2,Unknown,20.0,,
B Chipli,2012,2012,1,DCH,20.0,,
BA Bhatt,2012,2012,1,PBKS,20.0,,
CA Pujara,2012,2013,2,RCB,20.0,,
CJ Ferguson,2012,2012,1,PUNE,20.0,,
DE Bollinger,2012,2012,1,CSK,20.0,,
DH Yagnik,2012,2013,2,RR,20.0,,
DJ Jacobs,2012,2012,1,MI,20.0,,
IR Jaggi,2012,2012,1,DCH,20.0,,
Iqbal Abdulla,2012,2017,4,KKR,20.0,,
J Botha,2012,2012,1,RR,20.0,,
J Syed Mohammed,2012,2013,2,RCB,20.0,,
JD Ryder,2012,2012,1,PUNE,20.0,,
JD Unadkat,2012,2021,5,Unknown,20.0,,
M Kaif,2012,2012,1,RCB,20.0,,
MD Mishra,2012,2012,1,PUNE,20.0,,
MS Bisla,2012,2013,2,KKR,20.0,,
PC Valthaty,2012,2013,2,PBKS,20.0,,
S Anirudha,2012,2013,2,CSK,20.0,,
S Aravind,2012,2012,1,RCB,20.0,,
S Nadeem,2012,2021,6,DC,20.0,,
SD Chitnis,2012,2012,1,PBKS,20.0,,
VR Aaron,2012,2020,3,DC,20.0,,
WD Parnell,2012,2013,2,PUNE,20.0,,
A Chandila,2013,2013,1,RR,20.0,,
AG Murtaza,2013,2013,1,PUNE,20.0,,
AN Ahmed,2013,2015,2,Unknown,20.0,,
DB Das,2013,2013,1,KKR,20.0,,
K Upadhyay,2013,2013,1,PUNE,20.0,,
KK Cooper,2013,2013,1,RR,20.0,,
MN Samuels,2013,2013,1,PUNE,20.0,,
AP Tare,2015,2015,1,MI,30.0,,
CJ Anderson,2015,2015,1,MI,30.0,,
HV Patel,2015,2023,5,RCB,30.0,,
IC Pandey,2015,2015,1,Unknown,30.0,,
JP Faulkner,2015,2017,2,RR,30.0,,
KK Nair,2015,2020,4,RR,30.0,,
KM Jadhav,2015,2020,4,DC,30.0,,
KV Sharma,2015,2020,4,SRH,30.0,,
LMP Simmons,2015,2017,3,MI,30.0,,
M Vohra,2015,2017,3,PBKS,30.0,,
MC Henriques,2015,2017,3,SRH,30.0,,
MM Sharma,2015,2017,2,CSK,30.0,,
P Suyal,2015,2015,1,Unknown,30.0,,
PV Tambe,2015,2015,1,RR,30.0,,
RR Rossouw,2015,2015,1,RCB,30.0,,
S Gopal,2015,2021,5,MI,30.0,,
YS Chahal,2015,2021,4,RCB,30.0,,
D Wiese,2016,2016,1,RCB,30.0,,
EJG Morgan,2016,2021,2,SRH,30.0,,
MJ McClenaghan,2016,2019,3,MI,30.0,,
NM Coulter-Nile,2016,2021,2,DC,30.0,,
SN Khan,2016,2023,4,RCB,30.0,,
TA Boult,2016,2023,4,Unknown,30.0,,
A Zampa,2017,2017,1,RPS,30.0,,
AD Nath,2017,2017,1,GL,30.0,,
CA Lynn,2017,2019,2,KKR,30.0,,
CH Morris,2017,2019,2,DC,30.0,,
CR Brathwaite,2017,2017,1,DC,30.0,,
DJ Hooda,2017,2023,4,SRH,30.0,,
HM Amla,2017,2017,1,PBKS,30.0,,
KH Pandya,2017,2023,5,MI,30.0,,
MP Stoinis,2017,2023,3,PBKS,30.0,,
N Rana,2017,2023,5,MI,30.0,,
TM Head,2017,2017,1,RCB,30.0,,
AJ Tye,2019,2019,1,PBKS,20.0,,
C Munro,2019,2019,1,DC,20.0,,
DL Chahar,2019,2021,3,CSK,20.0,,
E Lewis,2019,2019,1,MI,20.0,,
IS Sodhi,2019,2019,1,RR,20.0,,
JC Archer,2019,2020,2,RR,20.0,,
K Khejroliya,2019,2019,1,Unknown,20.0,,
M Markande,2019,2019,1,MI,20.0,,
M Prasidh Krishna,2019,2021,3,KKR,20.0,,
MK Lomror,2019,2023,4,RR,20.0,,
MM Ali,2019,2023,3,RCB,20.0,,
R Tewatia,2019,2023,3,DC,20.0,,
RA Tripathi,2019,2023,3,RR,20.0,,
S Kaul,2019,2019,1,SRH,20.0,,
SN Thakur,2019,2021,3,CSK,20.0,,
J Yadav,2020,2020,1,Unknown,20.0,,
K Rabada,2020,2023,3,DC,20.0,,
KK Ahmed,2020,2021,2,SRH,20.0,,
R Parag,2020,2023,3,RR,20.0,,
RD Chahar,2020,2023,3,MI,20.0,,
S Dube,2020,2023,2,RCB,20.0,,
V Shankar,2020,2023,3,SRH,20.0,,
Ajay Dev Goud,2021,2021,1,-,20.0,,
Atit Sheth,2021,2021,1,-,20.0,,
Avi Barot,2021,2021,1,-,20.0,,
Ben McDermott,2021,2021,1,-,20.0,,
CJ Jordan,2021,2021,1,PBKS,20.0,,
CV Varun,2021,2023,2,KKR,20.0,,
G Periyaswamy,2021,2021,1,-,20.0,,
Gahlaut Rahul Singh,2021,2021,1,-,20.0,,
George Linde,2021,2021,1,-,20.0,,
Gerald Coetzee,2021,2021,1,-,20.0,,
Harsh Tyagi,2021,2021,1,-,20.0,,
Himanshu Rana,2021,2021,1,-,20.0,,
Ish Sodhi,2021,2021,1,-,20.0,,
Jack Wildermuth,2021,2021,1,-,20.0,,
KL Nagarkoti,2021,2021,1,KKR,20.0,,
KL Shrijith,2021,2021,1,-,20.0,,
Kedar Devdhar,2021,2021,1,-,20.0,,
L Ngidi,2021,2021,1,Unknown,20.0,,
LH Ferguson,2021,2021,1,KKR,20.0,,
Marnus Labuschagne,2021,2021,1,-,20.0,,
PK Garg,2021,2021,1,SRH,20.0,,
Qais Ahmad,2021,2021,1,-,20.0,,
SO Hetmyer,2021,2023,2,DC,20.0,,
Scott Kuggeleijn,2021,2021,1,-,20.0,,
Shahbaz Ahmed,2021,2023,2,RCB,20.0,,
Sudhesan Midhun,2021,2021,1,-,20.0,,
Tajinder Singh,2021,2021,1,-,20.0,,
Vishnu Solanki,2021,2021,1,-,20.0,,
YBK Jaiswal,2021,2023,2,RR,20.0,,
A Manohar,2023,2023,1,GT,20.0,,
A Nortje,2023,2023,1,DC,20.0,,
AS Joseph,2023,2023,1,GT,20.0,,
AS Roy,2023,2023,1,KKR,20.0,,
DJ Willey,2023,2023,1,RCB,20.0,,
DP Conway,2023,2023,1,CSK,20.0,,
JM Sharma,2023,2023,1,PBKS,20.0,,
K Kartikeya,2023,2023,1,MI,20.0,,
KS Sharma,2023,2023,1,LSG,20.0,,
M Pathirana,2023,2023,1,Unknown,20.0,,
M Shahrukh Khan,2023,2023,1,PBKS,20.0,,
MJ Santner,2023,2023,1,CSK,20.0,,
MR Marsh,2023,2023,1,DC,20.0,,
PBB Rajapaksa,2023,2023,1,PBKS,20.0,,
PWH de Silva,2023,2023,1,RCB,20.0,,
R Powell,2023,2023,1,DC,20.0,,
RP Meredith,2023,2023,1,MI,20.0,,
RV Patel,2023,2023,1,DC,20.0,,
SS Prabhudessai,2023,2023,1,RCB,20.0,,
T Stubbs,2023,2023,1,MI,20.0,,
VR Iyer,2023,2023,1,KKR,20.0,,
